,Title,Published_date,Views,Likes,Comments,month
166,Reviewing Your Data Science Projects - Episode 8 (College Student Help),2020-06-15 13:00:12+00:00,4307,168,46,6
167,Why You're Struggling to Learn Data Science,2020-06-12 13:00:17+00:00,15180,1010,159,6
168,Reviewing Your Data Science Projects - Episode 7 (Incredible Portfolio Website),2020-06-08 13:00:21+00:00,11274,350,70,6
169,The State of Data Science with Krish Naik & The Data Professor [Panel Discussion],2020-06-05 13:00:26+00:00,23144,674,146,6
170,Reviewing Your Data Science Projects - Episode 6 (Only 3 months of coding experience),2020-06-01 13:00:32+00:00,5686,156,53,6
171,How to Build a Data Science Portfolio Website with Hugo & Github Pages [feat. Data Professor],2020-05-29 13:00:21+00:00,67900,2113,267,5
172,Reviewing Your Data Science Projects - Episode 5 (Very Detailed Project),2020-05-25 13:00:13+00:00,20937,489,81,5
173,Different Data Science Roles Explained (by a Data Scientist),2020-05-22 13:01:09+00:00,53403,1916,176,5
174,Reviewing Your Data Science Projects - Episode 4 (Resume & Github),2020-05-18 13:00:22+00:00,11215,178,55,5
175,How to Make A Data Science Portfolio Website with Github Pages,2020-05-15 13:30:00+00:00,120413,4192,192,5
176,10000 Subscriber and 100th Video Special (Data Science),2020-05-13 13:00:17+00:00,3097,146,115,5
177,Reviewing Your Data Science Projects - Episode 3 (Student Portfolio),2020-05-11 13:00:33+00:00,4470,153,74,5
178,How I Would Learn Data Science (If I Had to Start Over),2020-05-08 13:00:03+00:00,1388554,48980,1997,5
179,Reviewing Your Data Science Projects - Episode 2 (Resume and Portfolio),2020-05-04 13:00:12+00:00,5446,195,42,5
180,What You Need to Know for a Data Science Internship,2020-05-01 13:00:10+00:00,20883,1151,59,5
181,Reviewing Your Data Science Projects - Episode 1 (Exploratory Analysis),2020-04-27 13:00:10+00:00,8292,348,54,4
182,What It's Like to be a Socially Distanced Data Scientist (A Day in the Life),2020-04-24 13:00:32+00:00,14965,460,103,4
183,Data Science in Sports - Talk for Northwestern (Kellogg) MBA Students,2020-04-22 13:00:30+00:00,3088,85,24,4
184,5 Tips for Crushing the Work From Home Life,2020-04-20 13:00:04+00:00,5380,202,38,4
185,Data Science Project from Scratch - Part 7 (Documenting Your Work),2020-04-17 13:00:04+00:00,19285,703,126,4
186,Data Science Project from Scratch -  Part 6 (Putting the Model into Production),2020-04-15 13:00:32+00:00,26881,699,98,4
187,Data Science Project from Scratch  - Part 5 (Model Building),2020-04-13 13:00:03+00:00,40678,855,151,4
188,Data Science Project from Scratch - Part 4 (Exploratory Data Analysis),2020-04-10 13:00:15+00:00,67516,1814,211,4
189,Data Science Project from Scratch - Part 3 (Data Cleaning),2020-04-08 13:00:19+00:00,73845,1670,270,4
190,Data Science Project from Scratch - Part 2 (Data Collection),2020-04-06 13:00:07+00:00,113877,3237,611,4
191,Data Science Project from Scratch - Part 1 (Project Planning),2020-04-03 13:00:12+00:00,172643,4575,170,4
192,When Data Science Goes Wrong,2020-03-30 13:00:06+00:00,1795,105,32,3
193,How to ULTRALEARN Data Science,2020-03-27 13:00:02+00:00,61356,3819,169,3
